Genotype	BLUP
4533_4_3_6	76.67782672
4638_6_2_7	71.02614613
4668_1_2_1	71.40772488
4841_2_6_2	74.13594834
4866_7_4_1_2	73.26889273
4882_1_5_3	68.7580429
4935_4_1_1	65.08814297
4953_6_5_3_2	72.58348872
4954_12_1_1_2	68.09919503
5226_9_4_1	67.20945802
5365_2_2	71.69800646
5366_1_1	78.45676032
5436_7_4	74.94584647
5451_2_2	71.75128718
5486_1_2_1	70.0244073
5492_1_1_4	65.31181514
5501_7_2	77.80070919
5515_4_3	76.65763588
5525_1_1_3	69.64640799
5534_1_4_3	66.37439085
5591_1_9_4	74.56315946
5597_1_5_4	68.68411183
5635_2_2_1	66.56675288
5654_2_4_1	78.13513649
5656_1_3_2	73.1603997
5681_7_8_2	69.00343935
ABED3171	79.64057397
ACCORDINE	71.39050752
ACORN	63.99155805
Aidas	68.73442522
AKKA	68.26035458
AKTA	65.85342228
ALBERT	61.58079741
ALF	73.84902004
ALVA	71.12565848
AMSEL	73.59853882
ANLA	73.89429544
ANNA	54.13180074
ANSGAR	75.65710834
ARAMIR	58.56765096
ArkaDS	66.68829623
Auksiniai	72.84184594
Auksiniai3	73.56972343
AuksiniaiII	65.42917611
AuraDS	60.07759119
AXELINA	76.58662502
BALDER	70.35046209
BALDRIC	68.21880449
BIRGITTA	69.21908044
BIRKANGN2667	51.96783947
BIRKANGN4712	62.50719807
BONUS5278	78.28489627
BREUNSWISA	74.58255433
BRIONI	58.488573
CAJA	74.47580661
CAMTON	74.99183788
CARLSBERGII	74.10516025
CATRIN	75.00535469
CECILIA	60.83799862
CINDY	73.46378838
CINNAMON	56.23072846
COMPANA	80.69298383
CRIMEE	81.63854459
D46_5_2_4_1	71.12032613
Dainiai	72.78708793
DCY69B	74.26627319
DEBA	74.38085825
DIABLO	73.23657279
DINA	73.28960857
DOMEN	63.66276511
DOMEN5089	75.90166944
Dotnuvosketureiliai	70.80007727
DROST	77.58043656
DROSTA	75.2081194
DS10006_4	51.39736755
DS10009_4	70.75779906
DS10058_4	71.40971298
DS10060_4	65.26608733
DS10085_5	75.03418751
DS10367_6	64.4769948
DS10385_3	64.25754696
DS10409_6	74.30038551
DS10430_1	68.38071252
DS9440_9	64.7983326
DS9770_4	66.78999026
DS9857_3	77.26151528
DS9860_4	74.67214413
DS9873_6	70.14051897
DS9875_5	68.25077906
DS9879_6	68.79548223
DS9898_3	69.18172186
DS9898_4	68.87567467
Dziugiai	66.94032602
ELBO6301	76.45351978
EmaDS	53.51977498
ERBIL	73.85890607
EVA	76.36256622
FENDER	67.86430075
FENNICA	63.59973064
FERO	72.41494459
FILIPPA	78.03900287
FLARE	63.39633644
FLAVINA	60.20446345
FOMA	77.53935398
FREJA5082	59.18613629
FRIDA	69.60674503
Gausiai	72.75245231
Gintariniai	69.96073663
GOLDIE	70.23441835
GOLF	64.31302452
GORM	77.38895533
GRIT	73.81336755
GULL	76.88633604
GUNHILD	72.03915726
GUNNAR	85.90461838
HAMBO	69.84873031
HANKKIJANAAPO	52.25739006
HARRY	53.48048291
HEINESHAHA	80.00192761
HELLAS	74.06701267
HERTA	67.93490233
HERTA5083	72.02587173
HIGHWAY	68.83745903
HJA10076	81.82033361
HONEY	69.00454374
HULDA	73.63270891
ISKRIA	77.58871365
JENNY	76.06752082
JO0909	72.45136681
JO0919	68.3595831
JO1072	57.46657214
JO1191	68.52460393
JONNA	68.14758173
JOVITA	71.54571186
KAMMAS	80.10078075
KANNAS	81.75920444
